id,title,chart_rank,chart_date,artist,url,region,chart,trend,streams,track_id,album,popularity,duration_ms,explicit,release_date,available_markets,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,af_time_signature,predicted_popularity,is_popular
4dpQ3WOE9BWCCWPuVOZK1n,O telefone tocou novamente,0,,,,,,0,0.0,4dpQ3WOE9BWCCWPuVOZK1n,,0,208453,0,,,0.6919999718666077,0.6830000281333923,4,-8.833000183105469,0,0.048200000077486,0.209999993443489,3.14999997499e-05,0.0706000030040741,0.7170000076293945,91.59600067138672,4,1,0
2KAC0yCs6S4LOvTb1tJdwT,Building Blocks,0,,,,,,0,0.0,2KAC0yCs6S4LOvTb1tJdwT,,0,178050,1,,,0.7850000262260437,0.7559999823570251,11,-4.7210001945495605,0,0.4050000011920929,0.1220000013709068,0.0,0.1299999952316284,0.5720000267028809,129.88900756835938,4,1,0
3LcfLucSvlnGuUa4O9J899,Beautiful Rain,0,,,,,,0,0.0,3LcfLucSvlnGuUa4O9J899,,0,299293,0,,,0.675000011920929,0.7129999995231628,4,-10.340999603271484,0,0.0282000005245208,0.3339999914169311,0.0096800001338124,0.1120000034570694,0.7020000219345093,129.96800231933594,4,1,0
1K1j5IkohC4t0S8zjrYbOH,Waving At Cars,0,,,,,,0,0.0,1K1j5IkohC4t0S8zjrYbOH,,0,159245,0,,,0.7749999761581421,0.6729999780654907,5,-7.703999996185303,1,0.0423000007867813,0.2179999947547912,0.0,0.0740000009536743,0.7099999785423279,120.05599975585938,4,1,0
5Z27zYlP3wNlaylNR1gime,Wunder - Baum,0,,,,,,0,0.0,5Z27zYlP3wNlaylNR1gime,,0,197120,1,,,0.7269999980926514,0.6489999890327454,4,-4.993000030517578,1,0.2249999940395355,0.1360000073909759,1.1500000028e-06,0.3070000112056732,0.7070000171661377,83.97699737548828,4,1,0
3UEK3oDmvmzKavAunwO6PJ,"Agua - Music From ""Sponge On The Run"" Movie",0,,,,,,0,0.0,3UEK3oDmvmzKavAunwO6PJ,,0,157944,0,,,0.7599999904632568,0.6579999923706055,7,-5.275000095367432,1,0.2750000059604645,0.1620000004768371,0.0,0.1949999928474426,0.5649999976158142,100.2020034790039,4,1,0
1wGRfh750rUpPwPNmanQIT,Two Can Play That Game,0,,,,,,0,0.0,1wGRfh750rUpPwPNmanQIT,,0,193058,0,,,0.7889999747276306,0.6800000071525574,8,-9.810999870300291,1,0.1490000039339065,0.1759999990463256,8.5000001491e-06,0.2509999871253967,0.6240000128746033,132.0070037841797,4,1,0
7LK6OlIqy3zbEqKH8Hwshz,Toca Fogo - Ao Vivo,0,,,,,,0,0.0,7LK6OlIqy3zbEqKH8Hwshz,,0,333000,0,,,0.7160000205039978,0.6980000138282776,4,-7.118000030517578,0,0.0592000000178813,0.163000002503395,0.0,0.8309999704360962,0.5920000076293945,101.04299926757812,4,1,0
7IqATxSksvcwjRExB8kwKj,If You Could Read My Mind,0,,,,,,0,0.0,7IqATxSksvcwjRExB8kwKj,,0,201560,0,,,0.7350000143051147,0.6330000162124634,10,-7.579999923706055,1,0.032600000500679,0.1110000014305114,0.0,0.1679999977350235,0.593999981880188,126.98999786376952,4,1,0
3huTI8NIP3SVmjtWfTP1CJ,Wiggle (Live),0,,,,,,0,0.0,3huTI8NIP3SVmjtWfTP1CJ,,0,259333,0,,,0.7160000205039978,0.7160000205039978,7,-9.543999671936035,1,0.3260000050067901,0.1829999983310699,0.0,0.4690000116825104,0.6710000038146973,93.08399963378906,4,1,0
7uksK3QbMuev63scR6CxWt,Can I?,0,,,,,,0,0.0,7uksK3QbMuev63scR6CxWt,,0,259933,0,,,0.7429999709129333,0.6480000019073486,6,-7.0329999923706055,0,0.0581000000238418,0.1260000020265579,0.0,0.0478000007569789,0.6389999985694885,94.97699737548828,4,1,0
